ulasan_bersih,sentimen
tolong pembatalan pesanan yang di lakukan oleh pelanggan impactnya jangan ke driver karena riwayat pembatalan orderan yang masuk akun jadi susah mendapat order di kemudian hari karena ini driver sudah susah payah menyetabilkan peforma jam online rating kinerja dan penerimaan order dapat cancel dari pelanggan akun auto susah mendapat order sistem tolong yang adil antara driver pelanggan dan resto jangan apa kesalahan di driver pilah kesalahan dulu,negatif
beberapa bulan setiap kali pesan gocar selalu mengecewakan terutama lokasi jakarta titik gak sesuai dan hal itu berulang kali padahal maps yg ditunjuk di apps penumpang sudah benar tp beda dg maps di driver otomatis driver ikut sama maps nya hanya beberapa yg gk bebal ikutin petunjuk penumpang tolong dong ditindaklanjuti bisa ditinggal pelanggan kalo kayak gini trimakasih,negatif
aplikasi ini semakin berat di hp ram  kecil kasihan konsumen yang masih memiliki hp android biasa seperti coolpad sementara mereka masih setia ingin memakai jasa gojek karena lebih nyaman tapi hp mereka tak mampu untuk loading disebabkan versi ini semakin beratmb  nya semakin tinggi termasuk apk mitra driver setiap ada perubahan versi selalu terkendala hank lag error ribet tks,negatif
akhir akhir ini selalu error berapa kali saya buka app buat pesan gofood menu di tokonya ga semua tampil sebagian besar layar putih kalau saya tungguin lama baru muncul menu lainnya itu pun kalau saya klik ga muncul muncul pop up buat ngeliat lebih jelas menu yg saya klik td terus keranjang makanan saya jg kadang hilang jd pas mau dicheck out harus keluar dulu lalu masuk lagi buat munculin,negatif
aplikasi menyusahkan user pertama mau ganti nomor yang sudah terdaftar susah kedua mau ubah pin saat login tapi ga ada menu lupa pin terus bagaimana bisa masuk ketiga masih kurang di bagian go transitnya suka lama munculin barcodeny serta scan barcodenya 👎,negatif
kecewa sih aplikasi nya mulai error padahal jaringan bagus hp bagus tpi ketika memilih layanan gosend malah gak jalan menit lebih nunggu ngirim chat gabisa telpon gabisa sudah  driver yg seperti itu terlihat di map tetap stucktidak jalan,negatif
saya mengalami beberapa masalah dari beberapa bulan yg lalu salah satunya baru saja terjadi sore hari kemarin saya memesan makan  ongkir k tapi ketikan makan nanya sudah sampai ongkir malah naik jadi k kejadian harga ongkir naik otomatis tibatiba dari dalam aplikasinya sudah sering saya alami dalam beberapa minggu terakhir ini tolong bugerror tersebut segera diperbaiki,negatif
awalnya bolehlah tarif terjangkau banyak promo voucer dari go point juga banyak sekarang udah mulai males pakai aplikasi ini tarik sudah lumayan naiknya biaya go food juga naik point kita bisa dipakainya hanya untuk itu aja ini fitur chat tpi komunikasi  arah gmana nih aplikasi btw udah ngebatalin pemesanan tpi tetap weh ga bisa dibatalkan parah nih aplikasi dari bintang  ke bintang,negatif
saya sudah uninstal aplikasi gojek karena   customer servicecall center nya sama sekali tidak berfungsi sama sekali tidak bisa dihubungi tidak bisa komunikasi langsung useless benar menggambarkan bahwa gojek tidak lagi punya empati terhadap customernya  utk gocar kalau driver menelpon getarannya terlalu kencang sangat mengganggu  driver semakin arogan akibat kedua hal di atas,negatif
aplikasi banyak bug nya akhirakhir ini saya order goride x tapi yg terpanggil  driver dengan tujuan yg sama dari akun saya padahal saya hanya order x sering kali hanya cek aplikasi tapi tibatiba terorder sendiri goridenya terutama saat saldo gopay terisi,netral
iklan nya terlalu banyak sama kyk shopee anjg lah lagi asik main game teken silang malah masuk aplikasi toll emang jadi hilang uang ku gara gara banyak iklan nih jadinya harus grinding in lagi  jam padahal bisa dapat ssr,negatif
pak mohon diperbaiki sistemnya masak bisa order  goride sekaligus pesanan pertama gak sengaja dobel kliknyantol ke  driver sekaligus kita konsumen yg gak enak sama driver nya aplikasi sebelah kayaknya gak bisa dobel sebelum pesanan pertama diselesaikan untung drivernya sabar tapi kita yang harus repot menjelaskan  jawab kita tahunya dobel setelah kedua drivernya datang klo tinggal klik batal di aplikasi sih gampang menjelaskannya ke drivernya itu lho yg repot,negatif
dua hari ini setiap order gocar di gojek astaga lama banget dapetnya sekalinya dapet drivernya protes  bilang kalo ngambil paket hemat mereka nggak balik modal bbm kalo dr pov konsumen pasti nyari yg paling murah ya cuman yang sangat dipertanyakan dari gojeknya sendiri gimana perhitungan paket hemat sampaisampai dikit banget driver yg mau ngambil tolonglah di tinjau ulang biar drivernya sama konsumennya sama sama enak,negatif
barusan order gocar di tampilan aplikasi gak ada muncul layar pantau padahal kemarin ada bikin salah paham sama bapak drivernya tidak bisa kelihatan lokasi dari maps,positif
kesel banget cs nya nggak responsif drivernya juga nggak sedikit yang aneh bin ajaib please buat kedepannya tolong training lagi driver drivernya khususnya untuk driver motor,negatif
beri kami penjelasan tentang keamanan data pengunna aplikasi ini saya menduga ada pihak² yang sengaja memanfaatkan nomor² yang terdaftar dlm aplikasi ini soalnya saya dalam seminggu selalu di hubungi nomor spam untuk menawarkan produk² tertentu saya baru saja mendowload aplikasi anda tapi kenapa banyak nomor² spam masuk,negatif
mau beli makanan dan jajan karna lagi nggak enak badan lewat go mart tapi drivernya nggak ada yang nerima jelek banget padahal kalau dipikir aku selalu ngasi tip ke mereka tolong deh perbaiki ini masa iya puluhan bahkan ratusan driver nggak ada masuk notifnya makin malah susah mau mesan sesuatu kalau di bilang sabar terus aku bahkan nunggu dari jam  malam ni karna nggak ada yang mau ampun dah,negatif
selain system ada juga hal yg sangat perlu diperhatikan terkait drivenya sendiri khususnya driver motor yaitu kebersihan helm yang disediakan untuk penumpang tolong dibuatkan standard dan ketentuan dari gojek biar penumpang nyaman,positif
apa banget beli makan sudah diproses resto tibatiba cancel karena jamnya toko tutup di online biasanya juga masih bisa diproses sampai selesai karena offline toko masih buka berasa di php,negatif
saya sudah memberikan pengaduan terkait akun saya yg tidak bisa du akses kembali namun ada nominal saldo di akun tersebut saya merasa tertipu bahwa ada jaminan uang kembali namun saya tidak dapat mengakses nomor telepon saya yg telah hilang dan tidak terkait gmail,negatif
respon csnya lama bgt ngga responsif tidak ada penyelesaian masalah sangat buruk penumpang menunggu lama  menit driver menolak untuk mengantar tp tidak mau cancel seharusnya kalau driver tidak bergerak ke arah penumpang dalam waktu    menit dicari driver pengganti yang mau pick up penumpang,negatif
bug tdk jls😔 lagi buru tapi koneksi internet tdk ada mulu padahal data sdh nyala kuota aman buka aplikasi lain bisa sy cb pakai hp  lgi pun sama koneksi internet tdk ada knp ya,negatif
sepertinya gojek tidak iklas memberikan promo mode hemat saya pesan makanan pakai pengantaran mode hemat malah harus nunggu  jam sampai dapat driver semntara makanan udah disiapin resto dan tidak bisa dibatalkan,negatif
tolong ya gojek kasih solusi terkait sistem untuk mencari driver gofood saya gatau sistem di driver bagaimana tpi sering banget driver ini entah kepencet atau gimana di chat ga dibales gk kasih info apa² nunggu hampir sejam tibatiba ganti driver makanan saya sering bgt dateng dingin dan udah gaenak mau komplain dan kasih bintang  ke driver juga gabisa karena beliau bukan driver yang awal ke resto juga bukan tanggung jawab mereka,negatif
bukan main ongkir deket pun mahal sekali  isi banyak embelembel biaya penangan dll trus promo gak ada yang bagus  makanan nya murah serasa makanan mahal di biaya ongkir dan penanganan nya,negatif
kenapa setiap paket hemat di grab driver mobil atau motor nya susah banget dapetnyapadahal banyak disekitar kitagiliran saya ganti ke yang ongkosnya lebih mahallangsung dapet driveruntuk apa diadain paket hemat kalu tidak ada yang siap ngantar kitadan nungguin drivernya lama banget,netral
saya punya pengalaman naik gocar yang kurang mengenakan ketika kami memakai promo hemat yang sudah aplikasi sediakan malah kami yang di remehkan oleh oknum driver gocar bahkan sampai menghina kami yang memakai promo hemat tsb pdhl customer tidak tau menau soal harga  tapi customer yang malah d salahkan semoga bisa lebih d perbaiki terutama oknum driver spt itu sangat menggangu dan bikin kesal selama di perjalanan,negatif
lu kenapa si di aplikasi manapun selalu muncul tentang iklan gojek gausah terlalu banyak buat iklan di aplikasi manapun sangat menganggu lagi pula orang juga tau gojek tanpa harus muncul iklan di aplikasi² tertentu,negatif
aku kecewa banget udah nunggu hampir  jam beli gofood tapi gak dapet driver nya lain kali di pilih lah yang jadi driver mana yang bener mau kerja keras mana cuma main aja iyaa tau karna ujan tapi gak gitu juga sebelum nya udah dapet driver nya makanan juga udah mau jadi malah di cancel sama driver nya ini yang di rugikan bukan cuma aku sbg customer tapi juga penjual yang udah buat akhir nya ke cancel please lain kali di benerin dah sistem nya,negatif
saya puas krn ketepatan waktu harga dan sikap pelayanan yg ramah yang kurang adalah perlunya verifikasi titik terutama titik penjemputan di map sudah  bulan terakhir saya dpt pergeseran titik lokasi sy utk dijemput bergeser sekitar  m harap verifikasi kembali,positif
makin kesini makin menjengkelkan penggunaan maps dari gojek sangat tidak relevan sebab jarak tempuh jadi pendek dan sangat merugikan drivernya map gojek yang disingkat tanpa mempertimbangkan jalan yang sudah ditutup portal di jam malam sering membuat perdebatan penumpang dengan drivernya sebaiknya pihak it  developer aplikasi mempertimbangkan hal itu kami pengguna jasa layanan tidak mempermasalahkan selisih argo yang tidak seberapa itu asalkan pesanan kami direspon dengan baik,negatif
di bagian aktifitas knapa gabisa ke refresh ya pesanan saya jaringan bagus hp bagus semua aplikasi lain lancar jaya cuma gojek nya aja yang rada eror begitu aplikasi sebelah ga pernah loh kayak gitu jangan mempermalukan produk dalam negri dong ya cuma sedikit kritik semoga kedepannya lebih baik lagi 🫡🫡,negatif
sistem gajelas udah sering pakai paylater tapi tiba di blok katanya karna terlambat coba cek itu jatuh tempo tgl  nov tapi gue udah bayar tgl  okt biasanya bayar tgl  pas gajian ga ada masalah nah ini kebetulan lg ada rezeki bayar jauh sblm tgl jatuh tempo malah di blok kan aneh sistem kaya apa cust bayar jauh dari sblm jatuh tempo malah di blok,negatif
kenapa ya setiap saya pesan goride saya dapat drive posisi jauh  menit saya harus menunggu padahal ke tmpt kerja saya  menit mau saya cancel mereka minta jgn dicancel seharusnya pesan goride utk cpt dan aman sampai ini malah lama tolong kasi posisi driver yg dekat dan tolong driver menyediakan helm yg bersih kadang helm yg dikasi utk konsumen bau sekali membuat tdk terpakai helmnya,negatif
sejauh penggunaan saya sampai saat ini cukup ok dan nyaman cuma mungkin sayangnya kalau mau lebih banyak promonya harus pakai aplikasi dompet digital yg dipisah dari aplikasi ini dan juga tolong ditambahkan pembayaran dengan bank jago syariah nya untuk go transit biar gak perlu top up dulu gopay nya biar transaksi lebih cepat dan efisien,positif
sekarang driver suka cancel seenak nya ya orang sudah nunggu lama pas driver sudah dekat lokasi terus tiba tiba di cancel dan bukan sekali dua kali tapi sering terjadi,negatif
perbaikin lagi masalah pemberitahuannotifikasi masa diberitahukan kalo gak dapat driver atau driver sedang sibuk pas mau mesan goride lagi untuk kedua kalinya tibatiba ada driver dari pesan goride yang pertama,negatif
sejauh ini aman aja jujur aplikasinya bagus dan amat sangat membantu tapi akhir² ini knpa gofood pas di saya ga bisa di pakai giliran saya pakai akun punya suami saya bisa di pakai padahal lokasi nya sama tapi di akun saya muncul terus tulisan gofood pas hanya bisa di jangkau area tertentu,netral
saya sudah beberapa kali menggunakan aplikasi gojek dan selalu titik mapnya tidak benar sedangkan klu gofood titiknya bisa ditemukan padahal alamat pengiriman dan titik selalu sama mohon diperbaiki lagi,negatif
rute yang dipilih oleh gpsmaps sangat jauh padahal rute yang biasa dilalui tidak macet bagaana cara mengatasinya harusnya di aplikasi ada menu pengaduan untuk masalah aplikasi,netral
heran bgt sama driver nih pingin laku tapi ga niat jemput padahal jaraknya deket tapi ga ada yg mau jemput like wtf lah padahal mah jalanannya juga sepi ga ada macet ditolak mulu njg nolak rejeki bgt dah kasian penumpang,netral
buat gofood sering banget udah dapet driver tapi drivernya gak ada konfirmasi bisa ambil atau tidak alias tidak responsif statusnya selalu driver meluncur ke restoran berapa lama sih biar bisa ganti driver otomatis kasian sama restonya yang suka nyiapin makanannya duluan,negatif
sepanjang hari ini gopay g bisa dipakai klik menu pilihan bayar cm tersedia pilihan tunai pdhl msh byk gopaynya trs di uninstall diinstal ulang mlh g bisa login setiap masukkan pin tulisannya tidak ada koneksi pdhl koneksi baik saja akhirnya berkali keblok disuruh coba lg  menit kemudian mslhnya ini uda yg ketiga kali kan wasting time bgt apa cm aku yg ngalami ini,negatif
saat liburan dibali ternyata lebih tidak dianjurkan pembayaran nontunaigopay krna bnyak driver tidak mau ambil orderan ternyata bnyak keluhan driver karna tidak bisa ambil saldonya sendiri harus melalui vendor dan itu potongan nya besar jadi kalian untuk pengguna taxi online lebih baik pindah ke grab saja supaya tidak terjadi kepada saya dan keluarga lagian aneh juga ya klau drivernya benar masak saldo gopay mereka gk bisa diambil sendiri lucu deh sepertinya gojek bali harus perbaiki sistem,negatif
kasih promo gofood kek udah sering langganan gofood plus tiap bulan tapi makin kesini ngga di kasih promo bjir mana harga di resto pada di naikin beda sama harga beli langsung di tempat terus yang dateng juga porsinya beda kadang malah pesenan ngga lengkap aneh akhirakhir ini jadi begini,netral
kecewa banget sama apk ini padahal saya pengguna setia gojek skrg jarang ada promk dan sering banget telat pengiriman klo pas lagi pesan makanan apk nya gak kayak dlu lagi skrg,negatif
mulai sekarang ini saya kalo pesan makanan lebih baik dan cepat di shoppe food cepat dapat driver nya cepat proses nya cepat pengiriman nya dan ada vocer nya good bye gofood,negatif
biayanya mulai ga masuk akalmahal go food konsumen dkenakan biaya layanan dan pajak pdhl resto jg sdh dkenakan biaya layanan dan pajak jg blm lg biaya promo aneh pdhl semakin resto laris gojek jg udah semakin cuan malah masih dsuru byr promo layanan pajak double dunk incomenya dr costumer ma mitra 🤣,negatif
order mau jam sepi atau rame harganya gak masuk akal eh ternyata maps dibuat mutar jadi argonya lebih mahal padahal aplikasi sebelah gak gitu aneh banget,negatif
harga nya suka berubah tiba layanan cs  adminnya bot alias nggak guna kebijakan  peraturan nya berat sebelah nggak jelas pokoknya promo voucher nya syarat nya memeras,negatif
pengaturan titik lokasi tidak akurat tidak bisa input manual alamat penjemputan atau pengantaran beda kelas dengan aplikasi grab yang lebih akurat,negatif
saya kasih bintang  karena aplikasi ini banyak membantu akan tetapi untuk go foodnya tolong diperbaiki sistemnya akhir ini selalu lewat alias telat padahal sebelumnya tepat waktu bahkan dtg lebih awal perbaiki sitem gofoodnya,positif
untuk ojol dan go food keren tp apk paylater nya sangat ribet limit sudah dapat sudah bisa digunakan tapi tiba limit ditahan dan gak bisa digunakan lagi padahal sblm jatuh tempo sudah dibayar gak ada transasksi yg menyalahi,netral
sekarang kok drive nya sombong masa klo pesen di cencel terus nunggu nya sampe lama banget karena dapet slalu yg jauh duh lama pengen hapus aja aplikasi ini tolong donk diperbaiki lagi perform nya biar ngga capek klo nungguin,negatif
sudah lama pakai gojek setahun lebih tapi akhir ini promonya gak ada sama sekali  apalagi setelah nyoba  bulan gojek setelah gak diperpanjang jadi ampas banget biasanya ada voucher kecilan setelah top up saldo tapi sekarang gak sama sekali kode promo yang biasanya dipake jadi gak bisa semua bahkan kode promo gojek ultah gak bisa digunain padahal masih dalam nuansa ultah kacau kacau,negatif
map selalu ga sesuai di aplikasi pelanggan selalu jadi sasaran driver kasian jg driver muter jauh bener kessel sampe ga bisa di pake lagi aplikasiku tolong aplikasi ini lebih akurat lagi donk mapnya bikin susah aja,negatif
aplikasi terlama yg saya pakai metode pembayaran gopay dan juga diberikan fasilitas gopaylater limit gopaylater naik secara bertahap tapi sdh x ini tiba gopaylater tidak bisa digunakan krn alasan yang tidak jelas hrs laporan dl itupun tdk lgs ditangani alasannya  status kredit tidak mendukung pdhl pembayaran sll tepat waktu tdk pernah terlambat seenaknya diblokir tolong diperbaiki sistemnya jika spt ini tidak bisa diandalkan semakin ke sini smkn tidak jelas trima kasih,negatif
aneh banget aplikasinya chat dengan cs malah dipaksa dengan jawaban yang udah tersedia udah ada template nah kalo masalahnya sesuai sih gapapa kalo nggak apa bisa nyelesaiin masalah chat aja semua diatur bot mau batalin aja sulitnya minta ampun untuk bagian gofood padahal estimasi waktunya udah terlewat alasanya sih bisa merugikan mitra yang ada tapi nggak ada pertimbangan kah customer yang rugi di waktu dan jam makan yang habis tolong deh perbaiki lagi kebijakannya,negatif
kenapa gojek sekarang jarak jauhdekat sama aja tarif nya mahal lalu klo drivernya telpon ke kita gk bisa diangkat apalagi gk ada notifikasi telponnya jadi kesulitannya disitu untuk mengetahui sudah sampaiblom apakah semua customer juga mengalami hal seperti itu atau hanya saya saja,negatif
akun saya tidak bisa login kembali tanpa ada alasan yang jelas saya tidak pernah cancel order atau melakukan hal yang membuat driver tidak nyaman sangat tidak profesional jika menangguhkan secara tiba tiba tanpa ada alasan yang jelas perbaiki layanan dan cek ulang kembali,negatif
aplikasi aneh ini jangan kasi promo jika driver selalu tolak orderan mengganggu kenyamanan dan yang tadinya mau cepat jadi terlambat sudah sering terjadi kami sebagai pengguna seolah pengemis di buat driver nya bolak balik tolak pesanan sementara kami bayar sesuai harga yg tertera,negatif
limit pay latter asik bolak balik diblokir padahal pembayaran lancar dan pemakaian bagus tidak ada menyalahi syarat dan aturan serta ketentuan dan kadang pemakaian juga nominal kecil tapi itu pun paylatternya bolak balik di blokir sistemnya makin lama makin buruk gojek performa nya makin rusak banget serta limit pay latternya ga bisa digunakan untuk pembayaran scan qris paylatternya masih banyak kekurangannya,negatif
saya milih alamat pake yang otomatis tulisan nya alamat nya sudah benar tapi kenapa kata driver nya titik nya tidak sesuai tolong dong di perbaiki jadinya konsumen yang di salah kan sama driver nya terus kenapa yaa saya ngk bisa angkat telpon dari drivernya kesel di salah kan sama driver nya,negatif
besaran tip sebaiknya tidak ditetapkan oleh gofood  gocar tetapi juga disediakan kolom agar customer bisa mengisi sendiri nilainya berdasarkan saldo gopay dan keikhlasan customer seperti digrabfood  grabcar untuk tip customer bisa masukkan nilai tertentu untuk gocar aplikasi tidak akurat lokasi penjemputannya padahal sudah pakai alamat rumah tetapi aplikasi gojek masih saja pakai lokasi sehingga selalu bergeser tidak akurat,netral
sekarang gojek emang nambah kah bayar goride nya saya berangkat sekolah bayarnya cuma k tapi pas pulang jadi  dulu harganya sama kaya pas berangkat jalan yang diambil pas pulang malah makin jauh kasus saya sekolah di rawamangun dan pulang ke klender tapi jalur yang dilalui di aplikasi malah melewati pulo gadung harganya pun jadi nambah padahal pulangnya lewat jalur yang sama driver tidak melewati arahan aplikasi karna terlalu jauh kembalikan seperti semula atau uangku habis,negatif
kalo bisa ngasih bintang nol gua kasih asli nyari driver  kali gak bisa ending nya di suruh pesen ke tempat lain tapi dana nya gak balik customer service juga gak guna aplikasi apaaan ini bah langsung un bis ini,negatif
tadi pagi aplikasi gojek saya bermasalah setiap dibuka infonya internet mati padahal tidak coba uninstall  reinstall malah jadi ada kendala teknis sebelum diuninstall top up saldo dan berhasil sekarang malah gak bisa dipakai ha,negatif
panggilan driver tidak muncul di aplikasi hanya nada dering saja bingung angkat telepon drivernya parahnya goshop tidak pernah dapat driver melihat posisi driver selalu dapat driver jauh ujungnya di cancel entahlah ada apa dengan aplikasi ini sekarang aplikasi susah selalu yg terbaru😌,negatif
kecewa saya sudah bayar tagihan gopaylater menggunakan virtual account bca dan ada bukti bahwa sudah berhasil membayar tapi di apk gojek nya masih ada tagihan saya sudah lapor ke cs nya dan sudah lampirkan semua bukti screenshot pembayaran sampai mutasi rekening saya tapi bilang nya belum melakukan proses pembayaran padahal saldo saya sudah terpotong di rekening saya kecewa tolong ini uang jumlahnya lumayan banyak tolong di tindak lanjuti,negatif
jujur kecewa setelah update malah jadi loading serba lama nyesel udah update versi sebelumnya padahal lumayan stabil tapi kenapa setelah update malah jadi sering banyak lag nya tolong di perbaiki jika sudah stabil saya kasih bintang,negatif
buruk respon kurang sistem nya jg masih di salah gunakan misalnya kita pesan gocar titik penjemputan sampai ke lokasi dengan driver yang samatapi di hystori riwayat pesan ada orderan di batalkan dengan driver yg berbedaitu pengalaman saya,negatif
teruntuk pelayanan gofoodnya saya beberapa kali mengalami kendala dalam transaksi driver telat trus ga jadi ambil pesanan blom lagi aplikasi maksa banget buat nyari driver baru walaupun sebenernya restonya sendiri udah tutup loh tolonglah service aplikasi lebih baik ke depannya kalo emang driver nya ga ada sampai resto tutup ya otomatis batalkan aja soalnya customer sendiri ga bisa batalin tau,netral
pesen gocar pake promopertama driver tbtb jaraknya dimaps jauhpadahal diawal pantau jaraknya tdk sejauh itutapi driver chat dicancel aja gpp karena jarak terlalu jauhwalopun heran tp oke karena ada kejelasanyang kedua pesen lagitapi pas mo sampe tiba² belok ke arah yang berbedasaya kira cuma salah beloktetapi setelah dipantau memang ternyata drivernya sengaja menjauhkalau memang merasa harganya kurang worth it dan gamau terima orderansetidaknya ada kejelasandan tdk membuang wktu saya,negatif
sangat disayangkan untuk pembayaran qris toko masih belum bisa menggunakan kartu kredit kartu kredit hanya bisa untuk pembayaran goridegocar dan gofood doang kalau nanti sudah bisa bayar qris toko pakai kartu kredit akan dipertimbangkan bintangnya saat ini kasih bintang  dulu,netral
bagus tetapi cukup bintang  menanti antrian gopaylater yang sangat lama mungkin juga sampai kiamat berbeda dengan aplikasi orange sangat mudah paylater diajukan terima kasih,negatif
keren nih skrg gojek gampang dpt drivernyatp kok skrg gak ada foto drivernya yadan kadang aplikasi suka error driver blm jemput tp dibilang sdh menuju destinasikan bikin bingung takutnya drivernya mo curangpls fix yahthanks ☺,positif
kasihan sekarang mitra nya gak sesuai yg di dapat kan customer bayar malah tp di mitra sangat miris gak sesuai yg di terima udah untung bnyk tp ttp aja nyikasa driver,negatif
sangat mengecewakan habis top up  ribu besoknya saldo terblokir dan tidak dapat di gunakan kembali sudah lapor sanan sini tetap tidak bisa sudah datang ke kantor cabang banjarmasin katanya tidak bisa membantu customer tapi kalau driver bisa di bantu untuk yang baru mau pakai aplikasi berhatilah kalau bisa pake grab aja karna jelas dan bisa di pertanggung jawabkandan jika ada kendala responya cepat dan bisa di selesaikan tidak seperti gojek saya merasa di rugikan,negatif
barang saya sudah dibawa driver gosend padahal barang dagangan saya snack kering sudah  menit dibawa pesanan dibatalkan gimana ini daya hubungan cs lewat aplikasi tp malah bot  ngga bisa track trx yg terbatalkan gimana barang dagangan saya,negatif
bali september dan october  saya x dihari yang beda mesan gofood dan kesusahan dapat driver untuk pick up padahal tidak hujan yang pertama saya sampai pesanorder x dan pesananorderan yang pertama baru datang  setengah jam dan orderan ke  lebih cepat selama ini gak pernah ada masalah tapi akhir ini kenapa jadi begini saya kasih  bintang biar dibaca dan diselesaikan masalahnya terima kasih,negatif
makin hari makin update tidak jelas saya tidak bisa lihat jarak resto dan harus memilih tempat untuk melihat jarak serta saldo tabungan gopay saya sangat lambat untuk saya terima tolong diperbaiki dan jangan kebanyakan update yang tidak jelas mau nya apa dan terakhir gak ush banyak tingkah kalo mau update cukup bagian promonya saja kalau terus begini daya beralih ke sebelah saja terimakasih,negatif
kacaauususah bgt dapet driver mesen gofood juga sering telat dari estimasi pdhl udh yg express gunanya nambah biaya kalo masih telat buat apa mending yg hemat aja sama sama lama datengnya,negatif
tolong adain fitur chat tokowarung saat pesan gofood saya sering order gofood tapi pesanan kurang ga sesuai orderan,netral
saya kecewa dengan pelayanan gocar map aplikasi selalu mengarahkan rute terdekatbukan rute tercepatalhasil driver minta rubah rute dan terjadi lonjakan harga hampir x lipat mending dari awal di aplikasi pakai rute tercepatjadi tarifnya gak akan membengkak daripada ubah rutesaya tidak keberatan tarif asalkan rute nya sesuai tercepatsaya cek aplikasi ijo sebelah map sesuai tercepat tapi tarif agak mahal dari gojeksaat rubah rute malah melebihi aplikasi sebelah jauh yang mapnya sesuai,negatif
lemot banget akhir² ini banyak ngelagnya terutama pas pesen gofood sebagai pengguna gofood setiap hari terutama hari kerja ini cukup ganggu sih apalagi bikin gw nyita waktu lebih lama buat sekedar pilih makan padahal yg gw harapkan dari app ini ya biar apa² tambah cepet karena terbatasnya waktu gw btw ini di hp samsung note maupun iphone sama aja lemotnya akhir² ini,negatif
setiap order gofood pasti drivernya kirim pesen ini adalah layanan hemat biaya untuk driver  harap bantuan parkirnya atau tipsnya sebenernya saya pesan aja itu biaya antarnya dari  sampai  saya gak ngerti kenapa dapat driver yang hemat tolong diperbaiki lagi,negatif
transaksi pembayaran later selalu gagal   dengan notif jaringan tidak ada  padahal kl memang tidak ada kenapa bisa dibuka aplikasinya   transaksi tidak berhasil ini sengaja mau buat cust telat bayar ya,negatif
knp gofood mode hemat banyak driver yg cancel orderan karna di lihat lokasi driver menuju resto kalau jauh itu pasti ga diambil orderan nya sm driver titik pengantaran nya kalau lebih dari  kilo pasti driver juga ga mau ambil orderan nya jdi klo order gofood mode hemat itu suka lama dapetin driver nya lama ya karna  faktor tersebut diatas kalau berapa driver cancel order gofood mode hematorder tersebut akan di lempar ke driver yg argo standar tapi kena biaya tambahan lagi,negatif
clame asuransi sangat susah dan cacat pelayanan nya lama hanya disuruh tunggu² dan tunggu percuma dong bayar asuransi setiap perjalanan atau oengiriman barang jngan hanya balas tingkat kan dan tingkat kan taoi pelayanan nya yang ditingkatkan,negatif
